month,count,money,day,year
11,357,142431597,13,2019
11,410,22435484,17,2019
11,405,67420073,14,2019
11,344,165161920,15,2019
11,941,148268776,16,2019
11,384,104773430,19,2019
11,144,24467001,18,2019
11,4361,82703202,21,2019
11,28,49100821,20,2019
11,742,49839049,06,2019
11,301,37010544,05,2019
11,480,31391842,07,2019
11,482,53164435,08,2019
11,5083,72649011,09,2019
11,361,23797260,10,2019
11,160,9399613,12,2019
11,145,9140000,11,2019
11,464,66068276,01,2019
11,18,106993111,02,2019
11,13,1150000,03,2019
11,308,65499636,04,2019
10,1110,211044217,17,2019
10,1551,870007122,18,2019
10,1106,97362744,19,2019
10,616,36600455,20,2019
10,581,140726326,21,2019
10,1063,274216385,22,2019
10,1021,93055396,23,2019
10,1069,63584988,24,2019
10,892,132719631,25,2019
10,933,57678757,26,2019
10,491,26742758,27,2019
10,472,36522888,28,2019
10,588,42793569,29,2019
10,229,317349159,30,2019
10,534,102859324,31,2019
10,422,99804001,13,2019
09,309,372988059,28,2019
09,220,35329928,29,2019
09,539,576619515,30,2019
10,333,2558178473,01,2019
10,204,39395992,02,2019
10,103,9100000,03,2019
10,158,11900000,04,2019
10,203,11180000,05,2019
10,630,31924088,06,2019
10,96,10200000,07,2019
10,649,104525182,08,2019
10,931,262905628,09,2019
10,940,71721503,10,2019
10,787,88182711,11,2019
10,965,322586158,12,2019
10,1107,68236967,14,2019
09,90,1208807524,11,2019
09,471,1331979030,12,2019
09,3563,2329956696,13,2019
09,497,69856814,14,2019
09,30,13921573,15,2019
09,112,29657296,16,2019
09,507,207885386,17,2019
09,441,540326483,18,2019
09,231,218367185,19,2019
09,302,384421882,20,2019
09,101,406429587,21,2019
09,18,65201386,22,2019
09,39,28096377,23,2019
09,218,39032606,24,2019
09,138,42991765,25,2019
09,90,275446331,26,2019
08,532,1847705045,23,2019
08,202,1165826797,24,2019
08,23,24000000,25,2019
08,21,311138139,26,2019
08,110,1287845877,27,2019
08,154,1163893921,28,2019
08,156,1407826668,29,2019
08,193,443026173,30,2019
08,110,863604092,31,2019
09,20,424500000,01,2019
09,46,1239204976,02,2019
09,320,1326451528,03,2019
09,81,358882627,04,2019
09,71,148018477,05,2019
09,106,468319414,06,2019
09,48,651071856,07,2019
08,1523,5643137939,03,2019
08,56,77600000,04,2019
08,125,337155000,05,2019
08,387,6609883679,06,2019
08,190,3099860738,07,2019
08,386,724403217,08,2019
08,480,605174708,09,2019
08,526,719005793,10,2019
08,31,72200000,11,2019
08,282,698980296,12,2019
08,351,3159315339,13,2019
08,410,4152890442,14,2019
08,2609,2239586229,15,2019
08,2989,2782644304,16,2019
08,1169,3123166970,17,2019
08,18,131570816,18,2019
07,72,161200000,14,2019
07,1105,1272686063,15,2019
07,4185,4451104138,16,2019
07,874,2393103889,17,2019
07,1407,1889562565,18,2019
07,585,2038920314,19,2019
07,614,702661620,20,2019
07,30,46400000,21,2019
07,29,336189808,22,2019
07,682,2956043602,23,2019
07,372,2044621093,24,2019
07,927,1602850544,25,2019
07,2157,4133977284,26,2019
07,496,2951472041,27,2019
07,57,147400000,28,2019
07,382,2607029910,29,2019
06,186,1544792807,24,2019
06,858,2905472294,25,2019
06,99,3806449886,26,2019
06,2512,1647837517,27,2019
06,250,2975071499,28,2019
06,1563,1304907796,29,2019
07,94,1038729801,01,2019
07,262,5501096609,02,2019
07,550,2094047375,03,2019
07,156,730268854,04,2019
07,1699,940559521,05,2019
07,14,72470871,06,2019
07,17,506518747,08,2019
07,203,1299507895,09,2019
06,838,624292505,04,2019
06,829,1074184492,05,2019
06,135,2652839000,06,2019
06,1547,3366931693,07,2019
06,61,2026493501,10,2019
06,143,2092038535,11,2019
06,264,1094581601,12,2019
06,135,920465129,13,2019
06,1867,2681862233,14,2019
06,3551,2512422222,15,2019
06,257,1043417484,17,2019
06,164,1643719381,18,2019
06,1390,2382184502,19,2019
05,1621,1696436636,16,2019
05,1064,672464814,17,2019
05,2013,2517535474,18,2019
05,10,500660243,19,2019
05,1248,940878180,20,2019
05,1235,3206704013,21,2019
05,1000,4448254921,22,2019
05,488,1710111091,23,2019
05,160,2543328500,24,2019
05,3100,1186636854,25,2019
05,858,418360460,27,2019
05,1205,3314484372,28,2019
05,449,1896703694,29,2019
05,541,910110833,30,2019
05,2178,2046954488,31,2019
04,3250,1617808385,26,2019
04,547,582007251,27,2019
04,1350,965596092,28,2019
04,629,417545399,29,2019
04,219,6569046872,30,2019
05,3594,1604372095,01,2019
05,1080,633781400,05,2019
05,1057,1931217388,06,2019
05,661,2257824639,07,2019
05,441,2675099839,08,2019
05,83,297402227,09,2019
05,778,6323050925,10,2019
05,2425,1618348386,11,2019
04,857,1215942103,08,2019
04,711,807183242,09,2019
04,1907,312440725,10,2019
04,1117,803095963,11,2019
04,3657,1521205288,12,2019
04,543,965231687,13,2019
04,2248,1486558281,15,2019
04,3002,2245703578,16,2019
04,895,652766264,17,2019
04,701,1373544596,18,2019
04,4374,1137287319,19,2019
04,414,893788480,20,2019
04,1126,531713708,22,2019
04,958,1751878608,23,2019
03,1751,1207781587,21,2019
03,4152,2324803921,22,2019
03,1185,1332659383,23,2019
03,1718,990344733,25,2019
03,2116,699084723,26,2019
03,1967,3213993159,27,2019
03,4134,1439985734,28,2019
03,3581,1604800670,29,2019
03,310,2036171786,30,2019
04,1518,333183481,01,2019
04,432,955911277,02,2019
04,1257,1029872123,03,2019
04,5478,1648076852,04,2019
04,275,2001080650,05,2019
03,5131,3181971345,01,2019
03,355,893122100,02,2019
03,3096,876972959,04,2019
03,2748,1059102273,05,2019
03,959,1558407704,06,2019
03,3594,1575500967,07,2019
03,3964,1406973053,08,2019
03,365,778775672,09,2019
03,2442,611410853,11,2019
03,4023,1155464229,12,2019
03,1529,1213965395,13,2019
03,4563,3105731529,14,2019
03,5482,3974690347,15,2019
03,1697,1557295911,16,2019
02,1515,194037873,11,2019
02,1567,541360613,12,2019
02,1152,1073502744,13,2019
02,1673,332164355,14,2019
02,4962,2124127529,15,2019
02,2327,2172259709,16,2019
02,1219,163119410,18,2019
02,2047,1829920590,19,2019
02,1233,7373451057,20,2019
02,1957,3647799539,21,2019
02,3942,1850749441,22,2019
02,761,1071636497,23,2019
01,3398,793484593,21,2019
01,3674,1417358910,22,2019
01,3299,892703982,23,2019
01,2874,2998899844,24,2019
01,6903,1302979113,25,2019
01,272,863336230,26,2019
01,2341,1980104934,28,2019
01,1231,1833554086,29,2019
01,774,2324706488,30,2019
01,619,4726760195,31,2019
02,767,5685054277,01,2019
02,1741,246428451,02,2019
02,11144,1272090867,03,2019
02,1384,154379062,04,2019
01,2462,1052943999,02,2019
01,2396,904074753,03,2019
01,5230,2199319166,04,2019
01,1545,302532278,05,2019
01,1992,495767959,07,2019
01,2364,878854792,08,2019
01,1542,779129988,09,2019
01,854,505045005,10,2019
01,7334,2127439372,11,2019
01,704,162884521,12,2019
01,2618,699403579,14,2019
01,4945,2520827621,15,2019
12,1594,1701294085,12,2018
12,1640,2034347227,13,2018
12,10809,2304666866,14,2018
12,909,426728894,15,2018
12,1663,168902636,17,2018
12,1374,148276631,18,2018
12,4076,1946303715,19,2018
12,9513,1843018239,20,2018
12,10219,3125243311,21,2018
12,227,182062535,22,2018
12,1616,2160525477,24,2018
12,3476,2612470138,25,2018
12,2616,2280337853,26,2018
12,2735,1753126157,27,2018
11,2663,845882219,22,2018
11,5905,2304656673,23,2018
11,2744,312946350,26,2018
11,2551,2018418217,27,2018
11,3659,1173418987,28,2018
11,1238,1590322684,29,2018
11,5124,1450194948,30,2018
12,425,124197259,01,2018
12,2474,558309625,03,2018
12,3667,402402165,04,2018
12,2900,794360438,05,2018
12,1194,626385894,06,2018
12,9453,2137635963,07,2018
11,4694,2744013418,12,2018
11,5239,2616002278,13,2018
11,4935,2078828881,14,2018
11,5560,1988274811,15,2018
11,7686,2054896763,16,2018
11,189,5647898769,17,2018
11,5263,997552133,19,2018
11,6719,1008985164,20,2018
11,7298,3455184329,21,2018
12,8,800760,08,2018
12,2574,589184601,10,2018
12,1880,797991379,11,2018
12,2963,1063930223,28,2018
12,3174,4224272362,29,2018
12,860,299615967,30,2018
01,3058,1493025870,16,2019
01,2725,2308463773,17,2019
01,4984,1759567944,18,2019
01,694,184226803,19,2019
02,2339,588520055,25,2019
02,2742,449000470,26,2019
02,1857,6179787411,27,2019
02,4335,2538020348,28,2019
03,1042,802619892,18,2019
03,3100,2332313181,19,2019
03,2052,2978573219,20,2019
